term,target_count,reference_count,target_per10k,reference_per10k,log_odds,z,g2
medically necessary,5,2,0.9066511931529703,0.1354719843936274,1.8812109933800834,2.261966595182797,5.914833258709846
population health,5,2,0.9066511931529703,0.1354719843936274,1.8835928675447864,2.261090297597089,5.914833258709846
heart rates,5,2,0.9066511931529703,0.1354719843936274,1.88550800416178,2.260387632727555,5.914833258709846
interventions require,5,2,0.9066511931529703,0.1354719843936274,1.88550800416178,2.260387632727555,5.914833258709846
clinical phenotypes,5,2,0.9066511931529703,0.1354719843936274,1.886468805988848,2.2600357523315795,5.914833258709846
health center,7,5,1.2693116704141583,0.3386799609840685,1.3071173852290716,2.2424715271187066,5.102767524096436
housing employment,7,5,1.2693116704141583,0.3386799609840685,1.3083921508217493,2.24022257499033,5.102767524096436
workforce training,7,5,1.2693116704141583,0.3386799609840685,1.3089414958309185,2.239258288225538,5.102767524096436
consolidated federal,53,0,9.610502647421484,0.0,7.4038971676374015,2.1649971403992563,138.0227237247954
hrsa cms,52,0,9.42917240879089,0.0,7.403879322933943,2.144470208773625,135.4185213903653
emergency department,6,4,1.087981431783564,0.2709439687872548,1.3766185027708193,2.1393562110499844,4.704172319901352
agencies nih,50,0,9.066511931529702,0.0,7.364687487376796,2.133050031376607,130.2101167215051
autism care,22,33,3.989265249873069,2.2352877424948523,0.5758064019849414,2.1129960942108594,4.209499127867478
federal products,49,0,8.885181692899108,0.0,7.403825790736418,2.0816765285756773,127.605914387075
state knowledge,9,9,1.6319721476753464,0.6096239297713233,0.9735824624789995,2.068614906057849,4.197703730101095
depression anxiety,5,3,0.9066511931529703,0.2032079765904411,1.480528858869521,2.035630600351478,4.340393601752201
needs identified,5,3,0.9066511931529703,0.2032079765904411,1.480528858869521,2.035630600351478,4.340393601752201
clinical services,5,3,0.9066511931529703,0.2032079765904411,1.480528858869521,2.035630600351478,4.340393601752201
wait time,5,3,0.9066511931529703,0.2032079765904411,1.480528858869521,2.035630600351478,4.340393601752201
scientific literature,5,3,0.9066511931529703,0.2032079765904411,1.4820182547369196,2.034439465909727,4.340393601752201
data systems,5,3,0.9066511931529703,0.2032079765904411,1.4822317557175282,2.0342692666205586,4.340393601752201
autism mental,7,6,1.2693116704141583,0.4064159531808822,1.1271045335582563,2.0299690000127972,4.093376244780613
profound autism,45,0,8.159860738376732,0.0,7.360341042800635,2.0267041778010895,117.1891050493546
autistic children,20,30,3.626604772611881,2.032079765904411,0.5721209359347741,1.9921243908891686,3.8268173889704276
motor skills,6,5,1.087981431783564,0.3386799609840685,1.1528589397734361,1.9200209256517657,3.641000326976462
using existing,6,5,1.087981431783564,0.3386799609840685,1.1549663814845896,1.9122005638708066,3.641000326976462
budgetary requirements,6,5,1.087981431783564,0.3386799609840685,1.1552333120695817,1.9112210271866379,3.641000326976462
red flags,6,5,1.087981431783564,0.3386799609840685,1.1552333120695817,1.9112210271866379,3.641000326976462
federal action,41,0,7.434539783854356,0.0,7.40368305223524,1.9041394942953997,106.77229571163419
sensory processing,9,10,1.6319721476753464,0.677359921968137,0.8687868972017245,1.8960202603282752,3.4988631872437193
