term,target_count,reference_count,target_per10k,reference_per10k,log_odds,z,g2
privately,0,9,0.0,0.6095908967759415,-4.477941157499009,-0.8799283017262023,5.713004726153825
wellness,1,7,0.18132695062467136,0.4741262530479545,-0.9125650786031922,-0.8807270210639062,1.0193803731307638
copyright,0,6,0.0,0.406393931183961,-3.672339084005859,-0.8814788785825429,3.8086698174358835
nashville,0,8,0.0,0.541858574911948,-4.243507265556943,-0.8839448785924668,5.078226423247845
obtained,1,7,0.18132695062467136,0.4741262530479545,-0.9189821028388785,-0.8839463807664802,1.0193803731307638
observed,12,43,2.175923407496056,2.9124898401517205,-0.2858289418693527,-0.8842623579168934,0.8408441886464031
shifted,0,11,0.0,0.7450555405039285,-4.81093717793099,-0.8848415357250015,6.982561331965787
collaboratively,0,11,0.0,0.7450555405039285,-4.81093717793099,-0.8848415357250015,6.982561331965787
incidents,0,11,0.0,0.7450555405039285,-4.81093717793099,-0.8848415357250015,6.982561331965787
facilitating,0,7,0.0,0.4741262530479545,-3.973510423782267,-0.8861572263918559,4.4434481203418645
driving,1,7,0.18132695062467136,0.4741262530479545,-0.9267568978363023,-0.8878070750544897,1.0193803731307638
easy,0,13,0.0,0.8805201842319155,-5.077367024935464,-0.8885815306488457,8.252117937777747
struggle,0,13,0.0,0.8805201842319155,-5.077367024935464,-0.8885815306488457,8.252117937777747
equipped,1,7,0.18132695062467136,0.4741262530479545,-0.9293667683389959,-0.8890933079521331,1.0193803731307638
adjunct,0,9,0.0,0.6095908967759415,-4.437297891450086,-0.8898430178397537,5.713004726153825
decreasing,0,9,0.0,0.6095908967759415,-4.437297891450086,-0.8898430178397537,5.713004726153825
evident,0,10,0.0,0.677323218639935,-4.625277943743054,-0.890004398678441,6.347783029059806
correlates,0,10,0.0,0.677323218639935,-4.625277943743054,-0.890004398678441,6.347783029059806
formed,0,6,0.0,0.406393931183961,-3.6188051110652886,-0.8921981945170127,3.8086698174358835
room,0,6,0.0,0.406393931183961,-3.6188051110652886,-0.8921981945170127,3.8086698174358835
